,[Substrate]/ÂµM,Reaction Rate
0,0.0,-0.11778223515263085
1,7.142857142857143,0.39708910208988485
2,14.285714285714286,0.7044006348334357
3,21.42857142857143,1.0688385811016066
4,28.571428571428573,1.2541249231478597
5,35.714285714285715,1.0673198621145648
6,42.85714285714286,1.3231010746906429
7,50.0,1.3025409388428417
8,57.142857142857146,1.5146408292862144
9,64.28571428571429,1.6548407251448232
10,71.42857142857143,1.5320611177720656
11,78.57142857142857,1.6184418453999567
12,85.71428571428572,1.6934229317730112
13,92.85714285714286,1.670320991027464
14,100.0,1.971620046282354
